event,record,record_date
Men's 100 Metres,9.63,08-05-2012
Men's 100 Metres,9.69,08-16-2008
Men's 100 Metres,9.84,07-27-1996
Men's 100 Metres,9.92,09-27-1988
Men's 100 Metres,9.95,10-14-1968
Men's 200 Metres,19.3,08-20-2008
Men's 200 Metres,19.32,08-01-1996
Men's 200 Metres,19.73,08-05-1992
Men's 200 Metres,19.75,09-28-1988
Men's 200 Metres,19.80,08-28-1984
Men's 200 Metres,19.83,10-16-1968
Men's 400 Metres,43.03,08-14-2016
Men's 400 Metres,43.49,07-29-1996
Men's 400 Metres,43.50,08-05-1992
Men's 400 Metres,43.68,10-18-1968
Men's 800 Metres,100.91,08-09-2012
Men's 800 Metres,102.58,07-31-1996
Men's 800 Metres,103.0,08-06-1984
Men's 800 Metres,103.5,07-25-1976
Men's 1500 Metres,208.32,08-07-2021
Men's 1500 Metres,212.07,09-29-2000
Men's 1500 Metres,212.53,08-11-1984
Men's 1500 Metres,214.9,10-20-1968
Men's 5000 Metres,777.82,08-23-2008
Men's 5000 Metres,785.59,08-11-1984
"Men's 10,000 Metres",1621.17,08-17-2008
"Men's 10,000 Metres",1625.1,08-20-2004
"Men's 10,000 Metres",1627.34,07-29-1996
"Men's 10,000 Metres",1641.46,09-26-1988
"Men's 10,000 Metres",1658.35,09-03-1972
Men's Marathon,7592.0,08-24-2008
Men's Marathon,7761.0,08-12-1984
Men's Marathon,7795.0,07-31-1976
Men's 110 Metres Hurdles,12.91,08-27-2004
Men's 110 Metres Hurdles,12.95,07-29-1996
Men's 110 Metres Hurdles,12.98,09-28-1988
Men's 110 Metres Hurdles,13.24,09-07-1972
Men's 400 Metres Hurdles,45.94,08-03-2021
Men's 400 Metres Hurdles,46.78,08-06-1992
Men's 400 Metres Hurdles,47.19,09-25-1988
Men's 400 Metres Hurdles,47.64,07-25-1976
Men's 3000 Metres Steeplechase,483.28,08-17-2016
Men's 3000 Metres Steeplechase,485.51,09-30-1988
Men's 3000 Metres Steeplechase,488.02,07-28-1976
Men's 20 Kilometres Race Walk,4726.0,08-04-2012
Men's 20 Kilometres Race Walk,4739.0,09-22-2000
Men's 20 Kilometres Race Walk,4797.0,09-23-1988
Men's 20 Kilometres Race Walk,4993.0,08-03-1984
Men's 20 Kilometres Race Walk,5015.5,07-24-1980
Men's 50 Kilometres Race Walk,13013.0,08-11-2012
Men's 50 Kilometres Race Walk,13029.0,08-22-2008
Men's 50 Kilometres Race Walk,13109.0,09-30-1988
Men's 50 Kilometres Race Walk,13646.0,08-11-1984
Men's 50 Kilometres Race Walk,13764.0,07-30-1980
Men's High Jump,2.39,07-28-1996
Men's High Jump,2.38,09-25-1988
Men's High Jump,2.36,08-01-1980
Men's Long Jump,8.9,10-18-1968
Men's Pole Vault,6.03,08-15-2016
Men's Pole Vault,5.97,08-10-2012
Men's Pole Vault,5.96,08-22-2008
Men's Pole Vault,5.95,08-27-2004
Men's Pole Vault,5.92,08-02-1996
Men's Pole Vault,5.9,07-30-1988
Men's Pole Vault,5.78,07-30-1980
Men's Triple Jump,18.09,07-27-1996
Men's Triple Jump,17.63,08-03-1992
Men's Triple Jump,17.61,09-24-1988
Men's Triple Jump,17.39,10-17-1968
Men's Shot Put,23.3,08-05-2021
Men's Shot Put,22.52,08-18-2016
Men's Shot Put,22.47,09-23-1988
Men's Shot Put,21.35,07-30-1980
Men's Discus Throw,69.89,08-23-2004
Men's Discus Throw,69.4,07-31-1996
Men's Discus Throw,68.82,10-01-1988
Men's Discus Throw,68.28,07-24-1976
Men's Hammer Throw,84.8,09-26-1988
Men's Hammer Throw,81.8,07-31-1980
Men's Javelin Throw,90.57,08-23-2008
Men's Javelin Throw,90.17,09-23-2000
Men's Javelin Throw,89.66,08-08-1992
Men's Javelin Throw,85.9,09-24-1988
Women's 100 Metres,10.61,07-31-2021
Women's 100 Metres,10.62,09-24-1988
Women's 100 Metres,10.97,08-05-1984
Women's 100 Metres,11.05,07-25-1976
Women's 200 Metres,21.34,09-29-1988
Women's 200 Metres,21.81,08-09-1984
Women's 200 Metres,22.03,07-30-1980
Women's 400 Metres,48.25,07-29-1996
Women's 400 Metres,48.65,09-26-1988
Women's 400 Metres,48.83,08-06-1984
Women's 400 Metres,48.88,07-28-1980
Women's 800 Metres,113.43,07-27-1980
Women's 1500 Metres,233.11,08-06-2021
Women's 1500 Metres,233.96,10-01-1988
Women's 1500 Metres,236.56,08-01-1980
Women's 5000 Metres,866.17,08-19-2016
Women's 5000 Metres,880.79,09-25-2000
Women's 5000 Metres,899.88,07-28-1996
"Women's 10,000 Metres",1757.45,08-12-2016
"Women's 10,000 Metres",1794.66,08-15-2008
"Women's 10,000 Metres",1817.49,09-30-2000
"Women's 10,000 Metres",1861.63,08-02-1996
"Women's 10,000 Metres",1904.69,09-30-1988
Women's Marathon,8587.0,08-05-2012
Women's Marathon,8594.0,09-24-2000
Women's Marathon,8692.0,08-05-1984
Women's 100 Metres Hurdles,12.26,08-01-2021
Women's 100 Metres Hurdles,12.35,08-07-2012
Women's 100 Metres Hurdles,12.37,08-24-2004
Women's 100 Metres Hurdles,12.38,09-30-1988
Women's 100 Metres Hurdles,12.56,07-28-1980
Women's 400 Metres Hurdles,51.46,08-04-2021
Women's 400 Metres Hurdles,52.64,08-22-2008
Women's 400 Metres Hurdles,52.77,08-22-2004
Women's 400 Metres Hurdles,52.82,07-31-1996
Women's 400 Metres Hurdles,53.17,09-28-1988
Women's 400 Metres Hurdles,54.61,08-08-1984
Women's 3000 Metres Steeplechase,538.81,08-17-2008
Women's 20 Kilometres Race Walk,5116.0,08-11-2012
Women's 20 Kilometres Race Walk,5191.0,08-21-2008
Women's 20 Kilometres Race Walk,5345.0,09-25-2000
Women's High Jump,2.06,08-28-2004
Women's High Jump,2.05,08-03-1996
Women's High Jump,2.03,09-30-1988
Women's High Jump,2.02,08-10-1984
Women's High Jump,1.97,07-26-1980
Women's Long Jump,7.4,09-29-1988
Women's Long Jump,7.06,07-31-1980
Women's Pole Vault,5.05,08-18-2008
Women's Pole Vault,4.91,08-24-2004
Women's Pole Vault,4.6,09-25-2000
Women's Triple Jump,15.67,08-01-2021
Women's Triple Jump,15.39,08-17-2008
Women's Triple Jump,15.33,07-31-1996
Women's Shot Put,22.41,07-24-1980
Women's Discus Throw,72.3,09-29-1988
Women's Discus Throw,69.96,08-10-1980
Women's Hammer Throw,82.29,08-25-2016
Women's Hammer Throw,77.6,08-11-2012
Women's Hammer Throw,75.02,08-25-2004
Women's Hammer Throw,71.16,09-29-2000
Women's Javelin Throw,71.53,08-27-2004
Women's Javelin Throw,68.91,09-30-2000
